date,official_outlet_m3s,official_et_mm,official_surq_gen_mm,official_perc_mm,official_latq_mm,official_snopack_mm,official_soil_layer2_C,existing_ft_outlet_m3s,existing_ft_et_mm,existing_ft_surq_gen_mm,existing_ft_perc_mm,existing_ft_latq_mm,existing_ft_snopack_mm,existing_ft_soil_layer2_C,shaw_outlet_m3s,shaw_et_mm,shaw_surq_gen_mm,shaw_perc_mm,shaw_latq_mm,shaw_snopack_mm,shaw_soil_layer2_C
2021-03-27,3.839e-06,1.261,0.92,0.09,0.075,0.0,1.819,0.0002291,1.323,10.824,0.095,0.105,0.0,2.255,0.1159,2.534,0.0,6.304,0.0,0.0,3.849
2021-03-28,7.005e-05,0.345,9.812,0.092,0.086,0.0,2.041,0.0004465,0.357,14.688,0.093,0.11,0.0,3.413,0.1229,0.875,0.209,6.613,0.0,0.0,5.769
2021-03-29,1.406e-05,0.475,2.016,0.091,0.094,0.0,1.897,0.0005484,0.494,5.21,0.093,0.113,0.0,1.474,0.1284,1.306,0.01,5.969,0.0,0.0,4.006
2021-03-30,7.064e-06,0.574,0.587,0.091,0.099,0.0,2.106,0.0006776,0.597,0.927,0.091,0.113,0.0,4.095,0.1336,1.267,0.084,5.93,0.0,0.0,6.276
2021-03-31,1.459e-05,0.438,1.784,0.091,0.104,0.0,2.689,0.00083,0.454,2.303,0.092,0.114,0.0,6.137,0.137,0.737,0.017,5.133,0.0,0.0,8.578
2021-04-01,1.515e-05,0.0,0.122,0.091,0.106,3.034,2.254,0.0009658,0.0,0.588,0.091,0.114,3.034,3.252,0.1385,1.264,0.0,4.244,0.0,0.439,3.37
2021-04-02,9.843e-07,0.442,0.012,0.09,0.108,6.067,1.518,0.001076,0.442,0.043,0.089,0.113,6.067,1.603,0.1387,1.395,0.0,3.618,0.0,0.64,2.146
2021-04-03,1.846e-05,0.807,4.237,0.091,0.11,3.034,1.077,0.001214,0.845,4.557,0.089,0.112,3.034,1.164,0.1382,0.981,0.078,3.236,0.0,0.201,2.702
2021-04-04,1.696e-06,0.986,0.287,0.09,0.111,0.0,1.387,0.001312,1.031,0.31,0.09,0.112,0.0,3.17,0.1371,1.482,0.0,2.915,0.0,0.0,4.573
2021-04-05,1.091e-06,1.089,0.028,0.09,0.111,0.0,1.874,0.001421,1.138,0.03,0.09,0.112,0.0,5.086,0.1354,1.717,0.0,2.58,0.0,0.0,6.143
2021-04-06,0.0001731,0.949,0.003,0.089,0.11,0.0,2.335,0.001523,0.991,0.003,0.089,0.111,0.0,6.022,0.1332,1.672,0.0,2.283,0.0,0.0,6.914
2021-04-07,0.0003362,0.971,0.0,0.089,0.11,0.0,3.088,0.00162,1.014,0.0,0.089,0.11,0.0,8.152,0.1306,1.548,0.0,2.022,0.0,0.0,9.162
2021-04-08,0.0004903,1.83,0.0,0.088,0.109,0.0,4.012,0.001712,1.91,0.0,0.088,0.109,0.0,10.556,0.1277,2.466,0.0,1.791,0.0,0.0,10.517
2021-04-09,0.0006356,1.911,0.0,0.087,0.107,0.0,5.058,0.001797,1.996,0.0,0.087,0.108,0.0,12.7,0.1245,2.484,0.0,1.591,0.0,0.0,12.254
2021-04-10,0.0007721,2.421,0.0,0.087,0.106,0.0,6.089,0.001877,2.546,0.0,0.086,0.106,0.0,13.962,0.1212,2.85,0.0,1.418,0.0,0.0,12.67
2021-04-11,4.488e-07,1.829,0.0,0.086,0.104,0.0,6.692,0.001951,1.918,0.0,0.085,0.104,0.0,13.062,0.1177,2.748,0.0,1.27,0.0,0.0,11.631
2021-04-12,6.551e-07,0.941,0.0,0.085,0.101,0.0,7.089,6.557e-07,0.982,0.0,0.085,0.101,0.0,11.977,0.1142,1.749,0.0,1.14,0.0,0.0,11.808
2021-04-13,4.236e-07,1.595,0.0,0.084,0.099,0.0,7.378,4.235e-07,1.669,0.0,0.084,0.099,0.0,11.342,0.1106,2.563,0.0,1.027,0.0,0.0,10.766
2021-04-14,4.134e-07,1.391,0.0,0.083,0.097,0.0,7.605,4.129e-07,1.458,0.0,0.083,0.097,0.0,11.0,0.107,2.278,0.0,0.929,0.0,0.0,10.698
2021-04-15,4.627e-05,0.868,1.199,0.091,0.102,0.0,7.491,4.587e-05,0.904,1.048,0.09,0.101,0.0,9.169,0.1034,2.299,0.333,0.843,0.0,0.0,9.206
2021-04-16,0.0002711,0.527,12.518,0.092,0.106,0.0,6.917,0.0002712,0.545,12.005,0.092,0.106,0.0,5.542,0.09988,1.636,0.283,0.768,0.0,0.0,6.402
2021-04-17,0.00036,0.916,2.16,0.091,0.109,0.0,6.621,0.00036,0.948,2.128,0.091,0.108,0.0,5.344,0.09634,2.337,0.013,0.703,0.0,0.0,6.634
2021-04-18,0.0005051,1.422,0.181,0.09,0.11,0.0,6.594,0.0005051,1.481,0.18,0.09,0.109,0.0,6.68,0.09289,2.189,0.0,0.649,0.0,0.0,7.388
2021-04-19,0.0006523,1.619,0.019,0.089,0.11,0.0,6.742,0.0006522,1.687,0.019,0.089,0.11,0.0,8.188,0.08956,2.263,0.0,0.617,0.0,0.0,8.369
2021-04-20,0.0007945,0.766,0.003,0.089,0.11,0.0,6.651,0.0007943,0.795,0.003,0.089,0.109,0.0,7.454,0.08639,1.469,0.001,0.62,0.0,0.0,8.362
2021-04-21,0.0009284,0.55,0.002,0.089,0.11,0.0,5.904,0.0009281,0.568,0.002,0.089,0.109,0.0,3.512,0.08344,1.349,0.001,0.652,0.0,0.0,4.871
2021-04-22,0.001053,0.822,0.0,0.089,0.109,0.0,5.135,0.001052,0.854,0.0,0.089,0.109,0.0,1.364,0.08071,1.592,0.0,0.694,0.0,0.0,3.228
2021-04-23,0.001172,1.442,0.0,0.089,0.109,0.0,5.205,0.001172,1.495,0.0,0.088,0.109,0.0,4.715,0.07818,1.856,0.0,0.728,0.0,0.0,6.125
2021-04-24,0.001286,0.839,0.0,0.088,0.108,0.0,5.714,0.001286,0.865,0.0,0.088,0.108,0.0,8.47,0.07581,0.895,0.0,0.746,0.0,0.0,10.537
2021-04-25,0.001396,0.985,0.004,0.088,0.107,0.0,5.866,0.001396,1.016,0.004,0.088,0.107,0.0,8.332,0.07357,2.202,0.004,0.749,0.0,0.0,8.896
2021-04-26,0.001495,1.548,0.0,0.088,0.107,0.0,5.431,0.001493,1.602,0.0,0.087,0.106,0.0,5.008,0.07141,2.11,0.0,0.74,0.0,0.0,4.591
2021-04-27,0.00159,1.751,0.0,0.087,0.105,0.0,5.422,0.001589,1.812,0.0,0.087,0.105,0.0,5.966,0.06932,2.327,0.0,0.721,0.0,0.0,6.166
2021-04-28,0.001761,1.376,6.188,0.093,0.11,0.0,5.983,0.001759,1.42,5.89,0.093,0.109,0.0,9.213,0.06733,3.076,0.318,0.695,0.0,0.0,9.902
2021-04-29,0.001819,1.092,4.474,0.091,0.111,0.0,6.511,0.001817,1.125,4.303,0.091,0.111,0.0,10.674,0.06531,1.936,0.073,0.667,0.0,0.0,11.18
2021-04-30,0.001986,0.976,16.31,0.092,0.113,0.0,6.403,0.00011,1.004,16.257,0.092,0.113,0.0,8.119,0.06339,2.526,0.342,0.638,0.0,0.0,8.294
2021-05-01,7.207e-06,0.88,1.103,0.091,0.113,0.0,6.222,0.0001822,0.905,1.101,0.091,0.113,0.0,6.361,0.06145,2.092,0.0,0.613,0.0,0.0,8.237
2021-05-02,0.0001768,1.844,0.108,0.09,0.113,0.0,6.504,0.0003432,1.903,0.108,0.09,0.113,0.0,8.038,0.05963,2.947,0.0,0.608,0.0,0.0,9.16
2021-05-03,0.0003426,1.402,0.013,0.09,0.112,0.0,6.393,0.0005008,1.443,0.013,0.09,0.112,0.0,6.866,0.05805,2.597,0.001,0.679,0.0,0.0,7.408
